Manuscript,Canonical Story ID,ID Number,ID Letter,Recension ID,Incipit,Canonical Incipit
EMML (HMML) 6938,26,26,,,ወኮነ፡ በበዐላ፡ ለእግዝእትነ፡…. አመ፡ ፲፡ ወ፮፡ ለወርኀ፡ ነሐሴ፡ ዕርገተ፡ ሥጋሃ፡ ቅዱስ፡ ውስተ፡ ሰማያት፡ ወይትገበር፡ ባቲ፡ በዐል፡ ዐቢይ፡ በቤተ፡ ልሔም,TRUE
EMML (HMML) 6938,27,27,,,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡… እመ፡ ምሕረት፡ በአማን፡ መሐሪት፡ ወመስተፍሥሒት፡ ወመናዝዚት፡ ለዘሰአለ፡ ኀቤሃ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት። ወኮነ፡ እንዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮሐንስ፡ እስቁፍ፡ በገዳመ፡ አስቄጥስ፡ ነገሩኒ፡ ሰብእ፡ መሃይምናን፡ ኄራን፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ ፈራሄ፡ እግዚአብሔር፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ሀገሩሰ፡ ድፍራ,TRUE
EMML (HMML) 6938,28,28,,,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ክርስቲያናዊ፡ ይነብር፡ በአሐቲ፡ ሀገር፡ እምአህጉረ፡ ጊዛ፡ ዘይሰመይ፡ ምኔተ፡ ዲያቆን፡ በገቦሃ፡ ለምስር,TRUE
EMML (HMML) 6938,29,29,,,ወኮነ፡ በዛቲ፡ ሀገር፡ ካዕበ፡ ዘትሰመይ፡ ምኔተ፡ ዲያቆን፡ ወሀሎ፡ ብእሲ፡ ክርስቲያናዊ፡ ዘስሙ፡ ዮሴፍ፡ ወቦቱ፡ ብእሲተ፡ ሠናይተ፡ ላሕይ፡ ጥቀ,TRUE
EMML (HMML) 6938,30,30,,,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ አረጎን፡ እምአድያመ፡ ቀጰዶቅያ፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ ለለ፡ ኵሉ፡ ዕለት,TRUE
EMML (HMML) 6938,31,31,,,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡… ሊቀ፡ ጸውርተ፡ ሜስ፡ ዘንጉሠ፡ አፍራንሳ፡ እስመ፡ ልማዶሙ፡ ውእቱ፡ አሐዱ፡ ዘየማን፡ ወአሐዱ፡ ዘፀጋም,TRUE
BOr (BL) 652,32,32,,BOr (BL) 652,ወሀሎ፡ ፩ ብእሲ፡ ውስተ፡ አሐቲ፡ ሀገር፡ ምስለ፡ ብእሲቱ፡ ወክቡራን፡ ፈድፋደ፡ ወነበሩ፡ ክልኤሆሙ፡ እንዘ፡ ይገብሩ፡ ተዝካራ፡ ለእግዝእትነ፡ ማርያም፡ ዘምስለ፡ ወልዳ፡ ኢየሱስ፡ ክርስቶስ። ወተፀነሱ፡ እሙንቱ፡ ወኃጥኡ፡ ዘይገብሩ፡ ተዝካራ፡ ለእግዝእትነ፡ ማርያም፡ ወለወልዳ፡ ፍቁር፡ ወዘይሴሰዩ ፨-፨ ወሀለየ፡ ውእቱ፡ ብእሲ፡ ምክረ፡ ዘይገብር፡ በልቡ፡ ወይቤ፡ እምዝ፡ ሐይው፡ ይኄይሰኒ፡ ሰሪቅ፡ ወሚመ፡ ክሒደ፡ ፈጣሪየ፡ ዘውእቱ፡ ኢየሱስ፡ ክርስቶስ፡ ምስለ፡ እሙ፡ ድ ንግል፡ ማርያም፡ ወክሕዶ፡ ለክርስቶስ፡ ምስለ፡ እሙ፡ ወአምነ፡ ሰይጣነ፡ ወገነየ፡ ሎቱ ፨,TRUE
EMML (HMML) 6938,32,32,,EMML (HMML) 6938,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ ፳፡ ወ፩፡ በበ፡ ኵሉ፡ ወርኅ፡ ወብእሲቱ፡ ሠናይት፡ ወብዑላን፡ ጥቀ፡ በንዋይ,TRUE
EMML (HMML) 6938,33,33,,EMML (HMML) 6938,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ሠዐሊ፡ ወአልቦ፡ ዘይትማሰሎ፡ በውእቱ፡ አዝማን፡ በገቢረ፡ ሥዕል,TRUE
EMML (HMML) 6949,33,33,,EMML (HMML) 6949,ወሀለወት፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ ወሶበ፡ ፈጸሙ፡ ሕኒጾታ፡ መጽአ፡ አሐዱ፡ ብእሴ፡ መሥዕል፡ ወቦአ፡ ኀበ፡ ቤተ፡ ክርስቲያን፡ ወገብረ፡ ዐራተ,TRUE
EMML (HMML) 6938,34,34,,,ወሀለዉ፡ በአሐቲ፡ ሀገር፡ ሰብእ፡ ክርስቲያን፡ ወርሕቅት፡ እምኔሆሙ፡ ቤተ፡ ክርስቲያን፡ በስማ፡ ለእግዝእትነ፡…. መጠነ፡ መሕዋረ፡ ፫፡ ሰዓት,TRUE
EMML (HMML) 2805,35-A,35,A,EMML (HMML) 2805,ወሀሎ፡ በምድረ፡ ግብጽ፡ ምኔት፡ ዐቢይ፡ ዘይሰመይ፡ ድብረ፡ ምጥማቅ፡ ወእሙር፡ ውእቱ፡ በኀበ፡ ኵሉ,TRUE
EMML (HMML) 6938,35-A,35,A,EMML (HMML) 6938,ኦአኃው፡ ፍቁራን፡ ጽልዉ፡ አእዛኒክሙ፡ ወአስተጋብኡ፡ ሕሊናክሙ፡ ከመ፡ ንንግርክሙ፡ ዘንተ፡ ነገረ፡ መድምመ፡ ዘኢይበጽሖ፡ ሕሊና፡ መዋቲ,TRUE
EMML (HMML) 760,35-B,35,B,,ዘከመ፡ አስተርአየት፡ በድብረ፡ ምጥማቅ። ወበቀዳሚት፡ ዓመት፡ ፍጻሜ። ሕንጸታ፡ ወቅዳሴሃ፡ በስመ፡ እግዝእትነ፡…. አመ፡ ፳፡ ወ፩፡ ለወርኃ፡ ግንቦት። ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ መነኮሳት፡ እምድኅረ፡ ፍጻሜ፡ ጸሎተ፡ ነግህ፡ ፈቀዱ፡ ይሑሩ፡ ከመ፡ ይትለአኩ፡ ኅብስተ፡ ቍርባን፡ በጽሖሙ፡ ብርሃን፡ ዓቢይ፡ ዘንኩር፡ ጥቀ።,TRUE
EMML (HMML) 760,35-C,35,C,,ዘከመ፡ አስተርአየት፡ በድብረ፡ ምጥመቅ፡ ወበጽሐ፡ ኤጲስ፡ ቆጶስ፡ ህየ፡ በዓለ፡ መንበር፡ ዘይእቲ፡ ሀገር። ወጸርሐ፡ በዐቢይ፡ ቃል፡ እንዘ፡ ይብል፡ ባርኪ፡ ላዕሌነ፡,TRUE
EMML (HMML) 492,35-D,35,D,,ወካዕበ፡ ይመጽኡ፡ እምሕዝብ፡ ነኪራን፡ ወተንባላት፡ ወካልዓንሂ፡ ወይበጽሑ፡ ኀበ፡ ደብር፡ ቅዱስ፡ አመ፡ ፳፡ ወ፩፡ ለወርኃ፡ ግንቦት፡ ወይነብሩ፡ እስከ፡ ፳፡ ወ፭፡ እምኔሁ፡ እስመ፡ በዝንቱ፡ ዕለት፡ ዘአቅደምነ፡ ነጊረ፡ ኢይጸራዕ፡ አስተርእዮታ፡ ለእግዝእትነ,TRUE
EMML (HMML) 492,35-E,35,E,,ወኮነ፡ በካልእ፡ ዓም፡ ዘበዓል፡ ተጋብኡ፡ እምግብፅ፡ ወኢትዮጵያ፡ ወሶርያ፡ ወአርማንያ፡ ወእዝክንድርያ፡ ወማሮን፡ ወኵርዝ፡ ወአፍርንጊ፡ ወሮመ፡ ወፋርስ፡ ወጽርዕ፡ እምምሥራቅ፡ ወእምምዕራብ፡ ይመጽኡ፡ ወይበጽሑ፡ ኀበ፡ ዝንቱ፡ ምኔት፡ ወይኔጽሩ፡ ተአምረ፡ ወመንክረ፡ ወመድምመ፡ ዘትገብር፡ እግዝእትነ፡…. ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ ያወርዱ፡ አክሊላቲሆሙ፡ ወይዌግሩ፡ ላዕለ፡ ኀበ፡ ኀለወት፡ ትነብር፡ ውስተ፡ ቀመራ፡ ለቤተ፡ ክርስቲያን,TRUE
EMML (HMML) 760,35-F,35,F,,ዘከመ፡ አስተርአየት፡ በደብረ፡ ምጥማቅ: ወበ፩ዓመት፡ ዘበዓል፡ መጽአት፡ አመት፡ እምኍልቈ፡ ሰብእ፡ እለ፡ ተጋብኡ፡ ህየ። ወወገረት፡ መንዲላ፡ ላዕለ፡ ወአኃዘቶ፡ እግዝእትነ፡.... ለመንዲል፡ በእዴሃ።,TRUE
EMML (HMML) 6938,36,36,,,ወሀሎ፡ በዝንቱ፡ ደብረ፡ ምጥማቅ፡ ዘእግዝእትነ፡…. ብእሲ፡ ክርስቲያናዊ፡ ጸዐኔ፡ አግማል፡ ለመፍቅደ፡ ደብር,TRUE
EMML (HMML) 6938,37,37,,,ወሀሎ፡ በዝንቱ፡ ደብር፡ ዘዝኩር፡ ብእሲ፡ ቀሲስ፡ ዘይሰመይ፡ ይስሐቅ፡ ወውእቱ፡ ሊቀ፡ ምኔት፡ ወለለ፡ ዓመት፡ በገቢረ፡ በዐል፡ ይፃሙ፡ ብዙኀ,TRUE
EMML (HMML) 6938,38,38,,,ወሀሎ፡ አሐዱ፡ ንጉሥ፡ ምስለ፡ ወልዱ፡ በሀገረ፡ ምስር፡ ወውእቱ፡ ተንባላታይ፡ ዕልው፡ በመዋዕሊሁ፡ ለአባ፡ እልስክንድሮስ፡ ሊቀ፡ ጳጳሳት,TRUE
EMML (HMML) 6938,39,39,,,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘስሙ፡ አውሎጊስ፡ በአሐቲ፡ ሀገር፡ ወብእሲ፡ ነዳይ፡ ወፀራቤ፡ እብን፡ ውእቱ,TRUE
EMML (HMML) 2058,40,40,,,ተአምሪሃ፡ ለእግዝእትነ፡…. ዘገብረቶ፡ ምስለ፡ ፍቁር፡ ወልዳ፡ አመ፡ ፰፡ ለወርኀ፡ ሰኔ፡ ውስተ፡ ቤተ፡ ምሕፃብ፡ ዘዕውቅት፡ ኀበ፡ መቅዐ፡ ማይ፡ ቡሩክ፡ ዘነቅዓ፡ እግዚእነ፡ ኢየሱስ፡ ክርስቶስ,TRUE
EMML (HMML) 2058,40,40,,,ተአምሪሃ፡ ለእግዝእትነ፡…. ዘገብረቶ፡ ምስለ፡ ፍቁር፡ ወልዳ፡ አመ፡ ፰፡ ለወርኀ፡ ሰኔ፡ ውስተ፡ ቤተ፡ ምሕፃብ፡ ዘዕውቅት፡ ኀበ፡ መቅዐ፡ ማይ፡ ቡሩክ፡ ዘነቅዓ፡ እግዚእነ፡ ኢየሱስ፡ ክርስቶስ,TRUE
EMML (HMML) 6938,41,41,,,ወሀለወት፡ አሐቲ፡ አራጊት፡ እንተ፡ ስማ፡ ስምባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወታፈቅራ፡ ለእግዝእትነ....,TRUE
EMML (HMML) 6938,42,42,,,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ምሥጢረ፡ መንክረ፡ ወመድምመ፡ ዘነገሩነ፡ አበዊነ፡ ቅዱሳን፡ ዘረከብዎ፡ ጽሑፈ፡ ውስተ፡ መጻሕፍት፡ ቅዱሳት። ወይቤሉ፡ አመ፡ ይመጽእ፡ እግዚእነ፡ በዳግም፡ ምጽኣቱ,TRUE
EMML (HMML) 6938,43,43,,,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ በሀገረ፡ ምስር፡ በስመ፡ ሰማዕት፡ ፑሉፓዴር፡ መርቆሬዎስ፡ ብእሲ፡ መነኮስ፡ ቀሲስ፡ ዘስሙ፡ ዮሐንስ፡ በከንሲ,TRUE
EMML (HMML) 6938,44,44,,,ወሀለወት፡ አሐቲ፡ ሀገር፡ በቅሩበ፡ ምስር፡ ምኔት፡ በስመ፡ እግዝእትነ፡…. ዘይሰመይ፡ ደብረ፡ አደውያ፡ ወያብዕሉ፡ በውስቴታ፡ በዐለ፡ ዐቢየ፡ በስማ፡ ለእግዝእትነ,TRUE
EMML (HMML) 2058,45,45,,EMML (HMML) 2058,ድርሳን፡ ዘደረሰ፡ አባ፡ ቄርሎስ፡ ኤጲስ፡ ቆጶስ፡ ዘሀገረ፡ ኢየሩሳሌም፡ ቅድስት፡ በእንተ፡ ሥዕለ፡ እግዝእትነ፡…. ዘሀለወት፡ በደብረ፡ ጼዴንያ፡ ኀበ፡ አሐቲ፡ ሀገር፡ እምአህጉረ፡ ዳማስቆ፡…. ወእምድኅረ፡ ዝንቱ፡ ኦፍቁራንየ፡ አነኒ፡ እሬኢ፡ ብእሴ፡ እምኔክሙ፡ ዘይጸውር፡ ተጋድሎ,TRUE
EMML (HMML) 6938,46,46,,,ተአምሪሃ፡ ዘኮነ፡ በሀገረ፡ ጽርዕ። ወሀሎ፡ ደብር፡ በጽንፈ፡ ኢያሪኮ፡ ወኑኁ፡ መጠነ፡ መንፈቀ፡ ምዕራፍ,TRUE
EMML (HMML) 6938,47,47,,,ወሀሎ፡ አሐዱ፡ ተንበላት፡ ወይነግድ፡ ለሀገረ፡ ጽርእ፡ በባሕረ፡ ኢያሪኮ፡ በሐመር። ወሖረ፡ በከመ፡ ልማዱ፡ ወወፅአ፡ እምባሕር፡ ወበጽሐ፡ ሀገረ፡ ናፑል፡,TRUE
EMML (HMML) 6938,48,48,,,ዘኮነ፡ በደሴተ፡ ቆላሲስ። ወሀሎ፡ አሐዱ፡ ብእሲ፡ ባዕል፡ ጥቀ፡ ወሖረ፡ ሀገረ፡ ትርኵ፡ ከመ፡ ይፅብኦሙ፡ ለቍዝ,TRUE
EMML (HMML) 6938,49,49,,,ወሀለወት፡ በቅሩበ፡ ዓይነ፡ ማይ፡ ዘአንቅዐ፡ እግዚእነ፡ ኢየሱስ፡ ክርስቶስ፡ ዘትሰመይ፡ መጠርያ፡  በስመ፡ እግዝእትነ፡…. ወይብልዋ፡ ለይእቲ፡ ደወል፡ ምኔተ፡ ሰርድ,TRUE
EMML (HMML) 6938,50,50,,,ዘገብረቶ፡ ሥዕለ፡ እግዝእትነ፡…. ዘእምርት፡ ገባሪታ፡ ተአምራት፡ ወመንክራት፡ ዘደብረ፡ ቀልሞን። ተብህለ፡ ከመ፡ ተምዐ፡ እግዚአብሔር፡ ላዕለ፡ አሐቲ፡ ሀገር፡ በእንተ፡ እከዮሙ፡ ወኀጢአቶሙ፡ ለሰብእ፡ እለ፡ ይነብሩ፡ ውስቴታ,TRUE
EMML (HMML) 2058,51,51,,,ዘከመ፡ ተስእላ፡ ሠለስቱ፡ ደናግል፡ ዘከመ፡ ወለደት፡ አምላከ። ወእምዝ፡ መጽኣ፡ ኀቤሃ፡ ፫፡ ደናግል፡ እለ፡ ይትቀነያ፡ ላቲ፡ ወይቤላሃ፡ ኢትኅዝኒ፡ ኦእግዝእትየ፡ ማርያም፡ ነሕነሰ፡ ንመጽእ፡ ምስሌኪ,TRUE
EMML (HMML) 2058,51,51,,,ዘከመ፡ ተስእላ፡ ሠለስቱ፡ ደናግል፡ ዘከመ፡ ወለደት፡ አምላከ። ወእምዝ፡ መጽኣ፡ ኀቤሃ፡ ፫፡ ደናግል፡ እለ፡ ይትቀነያ፡ ላቲ፡ ወይቤላሃ፡ ኢትኅዝኒ፡ ኦእግዝእትየ፡ ማርያም፡ ነሕነሰ፡ ንመጽእ፡ ምስሌኪ,TRUE
