Macomber ID,Macomber Incipit,Manuscript for Macomber Incipit,Link,Notes and alternate forms of incipit by a few letters
8,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ ሖሩ፡ ሰብእ፡ መነኮሳት፡ እምደብረ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ለፈጽሞ፡ መፍቅደ፡ ደብር,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
9,ወሀሎ፡ በዝንቱ፡ ደብረ፡ ቀልሞን፡ ዘቅዱስ፡ አባ፡ ሳሙኤል፡ ብእሲ፡ ዘይሰመይ፡ ያዕቆብ፡ ሐፂር፡ ዘአድኀነቶ፡ እግዝእትነ፡…. እምማእሰረ፡ ዐረብ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
10,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ ስዒድ፡ በደብረ፡ እንጽና፡ ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወእስከ፡ ይእዜ፡ ሀሎ፡ ወኵሉ፡ አሐዱ፡ አሐዱ፡ የአምሮ፡ ወይሰመይ፡ ምኔተ፡ አቡ፡ ንዕናእ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ ስዒድ፡ በደብረ፡ እንጽና፡ (በ)ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወእስከ፡ ይእዜ፡ ሀሎ፡ ወኵሉ፡ አሐዱ፡ አሐዱ፡ የአምሮ፡ ወይሰመይ፡ ምኔተ፡ አቡ፡ ንዕናእ
11,ወኮነ፡ በመዋዕለ፡ እግዚእ፡ ክቡር፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ገብርኤል፡ ሰማንያ፡ ወሰመንቱ፡ እምሊቃነ፡ ጳጳሳት፡ ዘእለእስክንድርያ፡ ብእሲ፡ ሊቅ፡ በደብረ፡ ቅዱስ፡ ዐቢይ፡ ሳሙኤል፡ ዘቀልሞን፡ ዘስሙ፡ ሰሎሞን,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
12,ወኮነ፡ በመዋዕለ፡ አብ፡ ክቡር፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ገብርኤል፡ ወልደ፡ ተሪክ፡ ወበጽሖ፡ ለዝንቱ፡ ሊቀ፡ ጳጳሳት፡ በአስ፡ ወጸልእ፡ ምስለ፡ ሕዝቡ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
13,ተብህለ፡ ከመ፡ ሀሎ፡ በውስተ፡ ቤተ፡ ክርስቲያን፡ ዘጥልጥልያ፡ ኤጲስ፡ ቆጶስ፡ ዘስሙ፡ ደቅስዮስ፡ ወኮነ፡ ብእሴ፡ ቡሩከ፡ ወኄረ፡ ወፈራሄ፡ እግዚአብሔር,EMML (HMML) 2275,https://w3id.org/vhmml/readingRoom/view/204104,
14,ስምዑ፡ አበውየ፡ ወአኀውየ፡ ከመ፡ ንንግርክሙ፡ ተአምረ፡ ዐባየ፡ ዘኮነ፡ ለእግዝእትነ፡…. ዘነገሩ፡ አበው፡ ቅዱሳን፡ ሰማዕትየ፡ እግዚአብሔር፡ ከመ፡ ኢይዌስክ፡ ወኢያነትግ። ይቤሉነ፡ ነበረ፡ በምድረ፡ ሶርያ፡ ብእሲ፡ ለብሓዊ፡ ፈራሄ፡ እግዚአብሔር,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
15,ወሀሎ፡ በአሐቲ፡ ሀገር፡ እምአህጉረ፡ ጽዒድ፡ እምሢመተ፡ ኤጲስ፡ ቆጶሳት፡ ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወሀሎ፡ በዛቲ፡ ቤተ፡ ክርስቲያን፡ ብእሲ፡ አምኑት፡ ዘውእቱ፡ ዐቃቤ፡ ቤተ፡ ክርስቲያን,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
16,ወኮነ፡ በደብረ፡ ቀልሞን፡ ወሶበ፡ በዝኀ፡ ተአምሪ፡ ለእግዝእትነ፡…. ዘታስተርኢ፡ ውስተ፡ ሥዕል፡ ዘሀለወት፡ በደብረ፡ ቅዱስ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወፈድፋደሰ፡ ለዐረብ፡ እለ፡ ሀለዉ፡ ዐውዳ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ወኮነ፡ በደብረ፡ ቀልሞን፡ ወሶበ፡ በዝኀ፡ ተአምሪ(ሃ)፡ ለእግዝእትነ፡…. ዘታስተርኢ፡ ውስተ፡ ሥዕል፡ ዘሀለወት፡ በደብረ፡ ቅዱስ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወፈድፋደሰ፡ ለዐረብ፡ እለ፡ ሀለዉ፡ ዐውዳ
16,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ ሖሩ፡ ኀበ፡ ምድረ፡ ሪፍ፡ ሠለስቱ፡ ሰብእ፡ ዐረባውያን፡ እንዘ፡ ምሉእ፡ ማየ፡ ተከዜ፡ ጥቀ,EMML (HMML) 5520,,
17,ወሀሎ፡ ብእሲ፡ ክርስቲያናዊ፡ ዲያቆን፡ እምሰብአ፡ መርግ፡ ወኬም፡ ወስሙ፡ ንኳል,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
18,ወሀሎ፡ ብእሲ፡ በሀገረ፡ ናርዲን፡ ወተሠይመ፡ ቀሲሰ፡ በላዕለ፡ ቤተ፡ ክርስቲያን፡ ድንግል፡ ዘይእቲ፡ ሀገር,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ወሀሎ፡ ብእሲ፡ በሀገረ፡ ናርዲን፡ ወተሠይመ፡ (ms: ተሰምየ፡) ቀሲሰ፡ በላዕለ፡ ቤተ፡ ክርስቲያን፡ (ዘ)ድንግል፡ ዘይእቲ፡ ሀገር
19,ወኮነ፡ በዝንቱ፡ ደብር፡ ቅዱስ፡ ዘዝኩር፡ በመዋዕሊሁ፡ ለአቡነ፡ አባ፡ ገብርኤል፡ ሊቀ፡ ጳጳሳት፡ ዘለእስክንድርያ፡ ብእሲ፡ መነኮስ፡ ቅዱስ፡ ወእምንእሱ፡ ነበረ፡ ህየ፡ ወስሙ፡ ይስሐቅ,EMML (HMML) 5520,,
19,ወሀሎ፡ አሐዱ፡ መነኮስ፡ ኄር፡ ዘስሙ፡ ይስሐቅ፡ ወያፈቅራ፡ ለእግዝእትነ፡ ማርያም፡ ወእምንእሱ፡ ነበረ፡ በአሐቲ፡ ደብር፡ በመዋዕሊሁ፡ ለአባ፡ ገብርኤል,EMML (HMML) 4205,https://www.vhmml.org/readingRoom/view/205982,
20,ወሀለወት፡ አሐቲ፡ ብእሲት፡ እምአንስተ፡ ዐረብ፡ ወባቲ፡ ውሕዘተ፡ ደም፡ እምብዙኅ፡ ዓመታት,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
21,ወሀሎ፡ በቤተ፡ ክርስቲያነ፡ ቅድስት፡ ወብፅዕት፡ ንጽሕት፡ ወልዕልት፡ እምሰማዕታት፡ በርባራ፡ ብእሲ፡ ዘይሰመይ፡ ዮሐንስ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
22,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ ወዓዲ፡ ሥዕል፡ በስመ፡ እግዝእትነ፡…. በገቦ፡ ንድቅ፡ ዘየማን,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
23,ወሀለዉ፡ ክልኤቱ፡ መነኮሳት፡ ቡሩካን፡ እምድብረ፡ ሰማዕት፡ ማር፡ ፊቅጦር፡ በማኅፈደ፡ ናርቆን,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
24,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ እንዘ፡ ይገብሩ፡ በዐላ፡ ለእግዝእትነ፡…. በሀገረ፡ አትሪብ፡ አመ፡ ፳፡ ወ፩፡ ለውርኀ፡ ሰኔ፡ ቅዳሴ፡ ቤተ፡ ክርስቲያና፡ ቅድስት፡ በሀገረ፡ ፊልጵኢስ,EMML (HMML) 2058,,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ እንዘ፡ ይገብሩ፡ በዐላ፡ ለእግዝእትነ፡…. በሀገረ፡ አትሪብ፡ አመ፡ ፳፡ ወ፩፡ ለውርኀ፡ ሰኔ፡ (other mss: መስከረም፡) ቅዳሴ፡ ቤተ፡ ክርስቲያና፡ ቅድስት፡ በሀገረ፡ ፊልጵኢስ
25,ወሀለወት፡ ብእሲት፡ መሃይምንት፡ ቅድስት፡ ወቡርክት፡ ወተኀድር፡ በአሐዱ፡ ሀገር፡ እምአህጉራተ፡ ታሕታይ፡ ግብጽ፡ ዘትሰመይ፡ ስምባጥ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
26,ወኮነ፡ በበዐላ፡ ለእግዝእትነ፡…. አመ፡ ፲፡ ወ፮፡ ለወርኀ፡ ነሐሴ፡ ዕርገተ፡ ሥጋሃ፡ ቅዱስ፡ ውስተ፡ ሰማያት፡ ወይትገበር፡ ባቲ፡ በዐል፡ ዐቢይ፡ በቤተ፡ ልሔም,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
27,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡… እመ፡ ምሕረት፡ በአማን፡ መሐሪት፡ ወመስተፍሥሒት፡ ወመናዝዚት፡ ለዘሰአለ፡ ኀቤሃ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት። ወኮነ፡ እንዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮሐንስ፡ እስቁፍ፡ በገዳመ፡ አስቄጥስ፡ ነገሩኒ፡ ሰብእ፡ መሃይምናን፡ ኄራን፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ ፈራሄ፡ እግዚአብሔር፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ሀገሩሰ፡ ድፍራ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡… እመ፡ ምሕረት፡ በአማን፡ መሐሪት፡ ወመስተፍሥሒት፡ ወመናዝዚት፡ ለዘሰአለ፡ ኀቤሃ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት። ወኮነ፡ እንዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮሐንስ፡ እስቁፍ፡ በገዳመ፡ አስቄጥስ፡ ነገሩኒ፡ ሰብእ፡ መሃይምናን፡ ኄራን፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ ፈራሄ፡ እግዚአብሔር፡ ወያፈቅራ፡ ለእግዝእትነ፡…. (ወ)ሀገሩሰ፡ ድፍራ
28,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ክርስቲያናዊ፡ ይነብር፡ በአሐቲ፡ ሀገር፡ እምአህጉረ፡ ጊዛ፡ ዘይሰመይ፡ ምኔተ፡ ዲያቆን፡ በገቦሃ፡ ለምስር,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
29,ወኮነ፡ በዛቲ፡ ሀገር፡ ካዕበ፡ ዘትሰመይ፡ ምኔተ፡ ዲያቆን፡ ወሀሎ፡ ብእሲ፡ ክርስቲያናዊ፡ ዘስሙ፡ ዮሴፍ፡ ወቦቱ፡ ብእሲተ፡ ሠናይተ፡ ላሕይ፡ ጥቀ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
30,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ አረጎን፡ እምአድያመ፡ ቀጰዶቅያ፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ ለለ፡ ኵሉ፡ ዕለት,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
31,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡… ሊቀ፡ ጸውርተ፡ ሜስ፡ ዘንጉሠ፡ አፍራንሳ፡ እስመ፡ ልማዶሙ፡ ውእቱ፡ አሐዱ፡ ዘየማን፡ ወአሐዱ፡ ዘፀጋም,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
32,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ ፳፡ ወ፩፡ በበ፡ ኵሉ፡ ወርኅ፡ ወብእሲቱ፡ ሠናይት፡ ወብዑላን፡ ጥቀ፡ በንዋይ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. ፈድፋደ፡ ወይገብር፡ በዐላ፡ (ለለ፡) ፳፡ ወ፩፡ በበ፡ ኵሉ፡ ወርኅ፡ ወብእሲቱ፡ ሠናይት፡ ወብዑላን፡ ጥቀ፡ በንዋይ
33,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ሠዐሊ፡ ወአልቦ፡ ዘይትማሰሎ፡ በውእቱ፡ አዝማን፡ በገቢረ፡ ሥዕል,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
33,ወሀለወት፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ ወሶበ፡ ፈጸሙ፡ ሕኒጾታ፡ መጽአ፡ አሐዱ፡ ብእሴ፡ መሥዕል፡ ወቦአ፡ ኀበ፡ ቤተ፡ ክርስቲያን፡ ወገብረ፡ ዐራተ,EMML (HMML) 6949,https://www.vhmml.org/readingRoom/view/200574,ወሀለወት፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ ወሶበ፡ ፈጸሙ፡ ሕኒጾታ፡ መጽአ፡ አሐዱ፡ ብእሴ፡ መሥዕል፡ (ms: ምስል፡) ወቦአ፡ ኀበ፡ ቤተ፡ ክርስቲያን፡ ወገብረ፡ ዐራተ
34,ወሀለዉ፡ በአሐቲ፡ ሀገር፡ ሰብእ፡ ክርስቲያን፡ ወርሕቅት፡ እምኔሆሙ፡ ቤተ፡ ክርስቲያን፡ በስማ፡ ለእግዝእትነ፡…. መጠነ፡ መሕዋረ፡ ፫፡ ሰዓት,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
35-A1,ኦአኃው፡ ፍቁራን፡ ጽልዉ፡ አእዛኒክሙ፡ ወአስተጋብኡ፡ ሕሊናክሙ፡ ከመ፡ ንንግርክሙ፡ ዘንተ፡ ነገረ፡ መድምመ፡ ዘኢይበጽሖ፡ ሕሊና፡ መዋቲ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
35-A2,ወሀሎ፡ በምድረ፡ ግብጽ፡ ምኔት፡ ዐቢይ፡ ዘይሰመይ፡ ድብረ፡ ምጥማቅ፡ ወእሙር፡ ውእቱ፡ በኀበ፡ ኵሉ,EMML (HMML) 2805,,
35-B,ዘከመ፡ አስተርአየት፡ በድብረ፡ ምጥማቅ። ወበቀዳሚት፡ ዓመት፡ ፍጻሜ፡ ሕንጸታ፡ ወቅዳሴሃ፡ በስመ፡ እግዝእትነ፡…. አመ፡ ፳፡ ወ፩፡ ለወርኃ፡ ግንቦት፡ ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ መነኮሳት፡ እምድኅረ፡ ፍጻሜ፡ ጸሎተ፡ ነግህ፡ ፈቀዱ፡ ይሑሩ፡ ከመ፡ ይትለአኩ፡ ኅብስተ፡ ቍርባን,EMML (HMML) 760,,
35-C,ዘከመ፡ አስተርአየት፡ በድብረ፡ ምጥመቅ። ወበጽሐ፡ ኤጲስ፡ ቆጶስ፡ ህየ፡ በዓለ፡ መንበር፡ ዘይእቲ፡ ሀገር፡ ወጸርሐ፡ በዐቢይ፡ ቃል፡ እንዘ፡ ይብል፡ ባርኪ፡ ላዕሌነ,EMML (HMML) 760,,
35-D,ወካዕበ፡ ይመጽኡ፡ እምሕዝብ፡ ነኪራን፡ ወተንባላት፡ ወካልዓንሂ፡ ወይበጽሑ፡ ኀበ፡ ደብር፡ ቅዱስ፡ አመ፡ ፳፡ ወ፩፡ ለወርኃ፡ ግንቦት፡ ወይነብሩ፡ እስከ፡ ፳፡ ወ፭፡ እምኔሁ፡ እስመ፡ በዝንቱ፡ ዕለት፡ ዘአቅደምነ፡ ነጊረ፡ ኢይጸራዕ፡ አስተርእዮታ፡ ለእግዝእትነ,EMML (HMML) 492,,
35-E,ወኮነ፡ በካልእ፡ ዓም፡ ዘበዓል፡ ተጋብኡ፡ እምግብፅ፡ ወኢትዮጵያ፡ ወሶርያ፡ ወአርማንያ፡ ወእዝክንድርያ፡ ወማሮን፡ ወኵርዝ፡ ወአፍርንጊ፡ ወሮመ፡ ወፋርስ፡ ወጽርዕ፡ እምምሥራቅ፡ ወእምምዕራብ፡ ይመጽኡ፡ ወይበጽሑ፡ ኀበ፡ ዝንቱ፡ ምኔት፡ ወይኔጽሩ፡ ተአምረ፡ ወመንክረ፡ ወመድምመ፡ ዘትገብር፡ እግዝእትነ፡…. ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ ያወርዱ፡ አክሊላቲሆሙ፡ ወይዌግሩ፡ ላዕለ፡ ኀበ፡ ኀለወት፡ ትነብር፡ ውስተ፡ ቀመራ፡ ለቤተ፡ ክርስቲያን,EMML (HMML) 492,,ወኮነ፡ በካልእ፡ ዓም፡ ዘበዓል፡ ተጋብኡ፡ እምግብፅ፡ ወኢትዮጵያ፡ ወሶርያ፡ ወአርማንያ፡ ወእዝክንድርያ፡ ወማሮን፡ (ms: ሜሮን፡) ወኵርዝ፡ ወአፍርንጊ፡ ወሮመ፡ ወፋርስ፡ ወጽርዕ፡ እምምሥራቅ፡ ወእምምዕራብ፡ ይመጽኡ፡ ወይበጽሑ፡ ኀበ፡ ዝንቱ፡ ምኔት፡ ወይኔጽሩ፡ ተአምረ፡ ወመንክረ፡ ወመድምመ፡ ዘትገብር፡ እግዝእትነ፡…. ወእንዘ፡ ጉቡኣን፡ እሙንቱ፡ ያወርዱ፡ አክሊላቲሆሙ፡ ወይዌግሩ፡ ላዕለ፡ ኀበ፡ ኀለወት፡ ትነብር፡ ውስተ፡ ቀመራ፡ ለቤተ፡ ክርስቲያን
35-F,ዘከመ፡ አስተርአየት፡ በደብረ፡ ምጥማቅ። ወበአሐዱ፡ ዓመት፡ ዘበዓል፡ መጽአት፡ አመት፡ እምኍልቈ፡ ሰብእ፡ እለ፡ ተጋብኡ፡ ህየ፡ ወወገረት፡ መንዲላ፡ ላዕለ፡ ወአኃዘቶ፡ እግዝእትነ,EMML (HMML) 760,,
36,ወሀሎ፡ በዝንቱ፡ ደብረ፡ ምጥማቅ፡ ዘእግዝእትነ፡…. ብእሲ፡ ክርስቲያናዊ፡ ጸዐኔ፡ አግማል፡ ለመፍቅደ፡ ደብር,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
37,ወሀሎ፡ በዝንቱ፡ ደብር፡ ዘዝኩር፡ ብእሲ፡ ቀሲስ፡ ዘይሰመይ፡ ይስሐቅ፡ ወውእቱ፡ ሊቀ፡ ምኔት፡ ወለለ፡ ዓመት፡ በገቢረ፡ በዐል፡ ይፃሙ፡ ብዙኀ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
38,ወሀሎ፡ አሐዱ፡ ንጉሥ፡ ምስለ፡ ወልዱ፡ በሀገረ፡ ምስር፡ ወውእቱ፡ ተንባላታይ፡ ዕልው፡ በመዋዕሊሁ፡ ለአባ፡ እልስክንድሮስ፡ ሊቀ፡ ጳጳሳት,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
39,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘስሙ፡ አውሎጊስ፡ በአሐቲ፡ ሀገር፡ ወብእሲ፡ ነዳይ፡ ወፀራቤ፡ እብን፡ ውእቱ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
40,ተአምሪሃ፡ ለእግዝእትነ፡…. ዘገብረቶ፡ ምስለ፡ ፍቁር፡ ወልዳ፡ አመ፡ ፰፡ ለወርኀ፡ ሰኔ፡ ውስተ፡ ቤተ፡ ምሕፃብ፡ ዘዕውቅት፡ ኀበ፡ መቅዐ፡ ማይ፡ ቡሩክ፡ ዘነቅዓ፡ እግዚእነ፡ ኢየሱስ፡ ክርስቶስ,EMML (HMML) 2058,,
41,ወሀለወት፡ አሐቲ፡ አራጊት፡ እንተ፡ ስማ፡ ስምባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወታፈቅራ፡ ለእግዝእትነ....,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ወሀለወት፡ አሐቲ፡ አራጊት፡ (በሀገር፡) እንተ፡ ስማ፡ ስምባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወታፈቅራ፡ ለእግዝእትነ....
42,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ምሥጢረ፡ መንክረ፡ ወመድምመ፡ ዘነገሩነ፡ አበዊነ፡ ቅዱሳን፡ ዘረከብዎ፡ ጽሑፈ፡ ውስተ፡ መጻሕፍት፡ ቅዱሳት። ወይቤሉ፡ አመ፡ ይመጽእ፡ እግዚእነ፡ በዳግም፡ ምጽኣቱ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
43,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ በሀገረ፡ ምስር፡ በስመ፡ ሰማዕት፡ ፑሉፓዴር፡ መርቆሬዎስ፡ ብእሲ፡ መነኮስ፡ ቀሲስ፡ ዘስሙ፡ ዮሐንስ፡ በከንሲ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ በሀገረ፡ ምስር፡ በስመ፡ ሰማዕት፡ ፑሉፓዴር፡ መርቆሬዎስ፡ (ወነበረ፡ ውስቴታ፡) ብእሲ፡ መነኮስ፡ ቀሲስ፡ ዘስሙ፡ ዮሐንስ፡ በከንሲ
44,ወሀለወት፡ አሐቲ፡ ሀገር፡ በቅሩበ፡ ምስር፡ ምኔት፡ በስመ፡ እግዝእትነ፡…. ዘይሰመይ፡ ደብረ፡ አደውያ፡ ወያብዕሉ፡ በውስቴታ፡ በዐለ፡ ዐቢየ፡ በስማ፡ ለእግዝእትነ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,ወሀለወት፡ (በ)አሐቲ፡ ሀገር፡ በቅሩበ፡ ምስር፡ ምኔት፡ በስመ፡ እግዝእትነ፡…. ዘይሰመይ፡ ደብረ፡ አደውያ፡ ወያብዕሉ፡ በውስቴታ፡ በዐለ፡ ዐቢየ፡ በስማ፡ ለእግዝእትነ
