Order,Painting ID,Canonical Story ID,Recension ID,Manuscript,Manuscript Link,Image Link,Painting Number,Painting folio,Painting scan,Number of Episodes,Episode Number,Episode Description,Episode Location,Episode Keywords,Episode Caption,Episode Notes,Featured Story Image,Countif Unique Manuscript,IIIF?,Total Manuscripts with this Story ID illustrated,Story ID + Manuscript ID + Painting Number + Painting folio + Painting scan (technical column),Total Story ID Paintings,Total Manuscript Paintings
1359,594,0,,B-Mc (McCarthy) 1574,images in PEMM Dropbox,,1,12v,13a,1,1,25. Crucifixion: Mary at the cross,full,,,,FALSE,1,,217,0 B-Mc (McCarthy) 1574 1 12v 13a,518,7
1360,595,0,,B-Mc (McCarthy) 1574,images in PEMM Dropbox,,1,13v,14a,1,1,"10. Nativity: Mary, Joseph, Jesus in manger",full,,,,FALSE,1,,217,0 B-Mc (McCarthy) 1574 1 13v 14a,518,7
1361,596,0,,B-Mc (McCarthy) 1574,images in PEMM Dropbox,,1,14r,14b,1,1,11. Motherhood: Madonna and child,full,,,,FALSE,1,,217,0 B-Mc (McCarthy) 1574 1 14r 14b,518,7
1362,597,0,,B-Mc (McCarthy) 1574,images in PEMM Dropbox,,1,14v,15a,1,1,45. Ethiopia: Mary with Jesus and Täklä Haymanot,top,,,,FALSE,1,,217,0 B-Mc (McCarthy) 1574 1 14v 15a,518,7
1363,598,0,,B-Mc (McCarthy) 1574,images in PEMM Dropbox,,1,17r,17b,1,1,29. Resurrection: Mary at the tomb,full,,,,FALSE,1,,217,0 B-Mc (McCarthy) 1574 1 17r 17b,518,7
1364,599,0,,B-Mc (McCarthy) 1574,images in PEMM Dropbox,,1,17v,18a,1,1,31. Resurrection: Mary at the Ascension of Jesus,full,,,,FALSE,1,,217,0 B-Mc (McCarthy) 1574 1 17v 18a,518,7
1358,593,0,,B-Mc (McCarthy) 1574,images in PEMM Dropbox,,1,2r,2b,1,1,12. Holy Family: Flight to Egypt,full,,,,FALSE,1,,217,0 B-Mc (McCarthy) 1574 1 2r 2b,518,7
1652,886,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,1,2v,,1,1,11. Motherhood: Madonna and child,full,,,"Plate I Of Budge, Lady Meux facsimile",FALSE,1,,217,0 B-Oslo (SCOL) 248 1 2v ,518,53
1653,887,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,1,78r,,1,1,30. Resurrection: Mary prays at Golgotha,full,,,"Plate II Of Budge, Lady Meux facsimile",FALSE,1,,217,0 B-Oslo (SCOL) 248 1 78r ,518,53
1657,891,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,1,78v,,1,1,34. Ascension: Mary surrounded by angels and the apostles,top,,,"Plate IV Of Budge, Lady Meux facsimile",FALSE,1,,217,0 B-Oslo (SCOL) 248 1 78v ,518,53
1658,892,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,2,78v,,1,1,41. Dormition: Angels show Mary the fires of Sheol and the souls within.,bottom,,,"Plate IV Of Budge, Lady Meux facsimile",FALSE,0,,217,0 B-Oslo (SCOL) 248 2 78v ,518,53
1654,888,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,1,79r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,top,,,"Plate III Of Budge, Lady Meux facsimile",FALSE,1,,217,0 B-Oslo (SCOL) 248 1 79r ,518,53
1655,889,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,2,79r,,1,1,41. Dormition: Angels show Mary the fires of Sheol and the souls within.,bottom-left,,,"Plate III Of Budge, Lady Meux facsimile",FALSE,0,,217,0 B-Oslo (SCOL) 248 2 79r ,518,53
1656,890,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,3,79r,,1,1,42. Dormition: Mary prays for those in Sheol,bottom-right,,,"Plate III Of Budge, Lady Meux facsimile",FALSE,0,,217,0 B-Oslo (SCOL) 248 3 79r ,518,53
1659,893,0,,B-Oslo (SCOL) 248,"Budge, Lady Meux facsimile",,1,80r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,,"Plate V Of Budge, Lady Meux facsimile",FALSE,1,,217,0 B-Oslo (SCOL) 248 1 80r ,518,53
1386,621,0,,BAdd (BL) 16192,http://www.bl.uk/manuscripts/Viewer.aspx?ref=add_ms_16192_fs001r,no IIIF link,1,94v,,1,1,11. Motherhood: Madonna and child,full,,Our Lady Mary with her beloved Son; Michael; Gabriel,,FALSE,1,,217,0 BAdd (BL) 16192 1 94v ,518,1
1463,698,0,,BOr (BL) 13278,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_13278_f001r,no IIIF link,1,1v,,1,1,25. Crucifixion: Mary at the cross,full,,How the Jews crucified our Lord; The two-fold Virgin; The beloved of the Lord,,FALSE,1,,217,0 BOr (BL) 13278 1 1v ,518,2
1464,699,0,,BOr (BL) 13278,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_13278_f001r,no IIIF link,1,2r,,1,1,11. Motherhood: Madonna and child,full,,Michael; Gabriel; With her beloved Son,,FALSE,1,,217,0 BOr (BL) 13278 1 2r ,518,2
1387,622,0,,BOr (BL) 520,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f001r,no IIIF link,1,135v,,1,1,8. Annunciation: St Gabriel appears to Mary sewing or spinning,full,,,,FALSE,1,,217,0 BOr (BL) 520 1 135v ,518,61
1388,623,0,,BOr (BL) 520,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_520_f001r,no IIIF link,1,266r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,,,FALSE,1,,217,0 BOr (BL) 520 1 266r ,518,61
1672,906,0,,BOr (BL) 634,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_634_f001r,no IIIF link,1,10r,,1,1,11. Motherhood: Madonna and child,full,,,,FALSE,1,,217,0 BOr (BL) 634 1 10r ,518,4
1673,907,0,,BOr (BL) 634,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_634_f001r,no IIIF link,1,10v,,1,1,8. Annunciation: St Gabriel appears to Mary sewing or spinning,full,,,,FALSE,1,,217,0 BOr (BL) 634 1 10v ,518,4
1670,904,0,,BOr (BL) 634,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_634_f001r,no IIIF link,1,8v,,1,1,11. Motherhood: Madonna and child,full,,,,FALSE,1,,217,0 BOr (BL) 634 1 8v ,518,4
1671,905,0,,BOr (BL) 634,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_634_f001r,no IIIF link,1,9r,,1,1,4. Childhood: Bringing Mary to temple (related to ID 316D),full,,,,FALSE,1,,217,0 BOr (BL) 634 1 9r ,518,4
1389,624,0,,BOr (BL) 635,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,no IIIF link,1,18r,,1,1,30. Resurrection: Mary prays at Golgotha,full,,,,FALSE,1,,217,0 BOr (BL) 635 1 18r ,518,63
1390,625,0,,BOr (BL) 635,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,no IIIF link,1,19r,,1,1,34. Ascension: Mary surrounded by angels and the apostles,full,,,,FALSE,1,,217,0 BOr (BL) 635 1 19r ,518,63
1391,626,0,,BOr (BL) 635,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,no IIIF link,1,20r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,,,FALSE,1,,217,0 BOr (BL) 635 1 20r ,518,63
1392,627,0,,BOr (BL) 635,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,no IIIF link,1,21r,,1,1,41. Dormition: Angels show Mary the fires of Sheol and the souls within.,full,,,,FALSE,1,,217,0 BOr (BL) 635 1 21r ,518,63
1393,628,0,,BOr (BL) 635,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,no IIIF link,1,22r,,1,1,42. Dormition: Mary prays for those in Sheol,full,,,,FALSE,1,,217,0 BOr (BL) 635 1 22r ,518,63
1394,629,0,,BOr (BL) 635,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,no IIIF link,1,23r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,,,FALSE,1,,217,0 BOr (BL) 635 1 23r ,518,63
1395,630,0,,BOr (BL) 635,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_635_f001r,no IIIF link,1,26v,,1,1,8. Annunciation: St Gabriel appears to Mary sewing or spinning,full,,,,FALSE,1,,217,0 BOr (BL) 635 1 26v ,518,63
1396,631,0,,BOr (BL) 637,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_637_f001r,no IIIF link,1,3v,,1,1,34. Ascension: Mary surrounded by angels and the apostles,full,,How the angels brought her up; How the prophets bowed to her,,FALSE,1,,217,0 BOr (BL) 637 1 3v ,518,2
1397,632,0,,BOr (BL) 637,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_637_f001r,no IIIF link,1,4r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,How our Lord gave the covenant to his mother; King David; The lineage of Abraham,,FALSE,1,,217,0 BOr (BL) 637 1 4r ,518,2
1398,633,0,,BOr (BL) 638,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_638_f001r,no IIIF link,1,117v,,1,1,11. Motherhood: Madonna and child,right,,,,FALSE,1,,217,0 BOr (BL) 638 1 117v ,518,3
1399,634,0,,BOr (BL) 638,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_638_f001r,no IIIF link,1,149v,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,bottom,,,,FALSE,1,,217,0 BOr (BL) 638 1 149v ,518,3
1400,635,0,,BOr (BL) 638,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_638_f001r,no IIIF link,1,169v,,1,1,11. Motherhood: Madonna and child,full,,,,FALSE,1,,217,0 BOr (BL) 638 1 169v ,518,3
1403,638,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,16v,,1,1,30. Resurrection: Mary prays at Golgotha,full,,How our Lady Mary prayed at Golgotha; Guardian; Guardian; Guardian; Guardian of the tomb; How our Lord visited our Lady Mary while she prayed at Golgotha,,FALSE,1,,217,0 BOr (BL) 639 1 16v ,518,58
1412,647,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,171v,,1,1,26. Crucifixion: Mary with the body of Jesus,full,,,,FALSE,1,,217,0 BOr (BL) 639 1 171v ,518,58
1413,648,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,172r,,1,1,25. Crucifixion: Mary at the cross,full,,,,FALSE,1,,217,0 BOr (BL) 639 1 172r ,518,58
1404,639,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,17r,,1,1,34. Ascension: Mary surrounded by angels and the apostles,full,,How they brought our Lady Mary up from Golgotha into heaven and the souls of the saints along with Abraham and Isaac and Jacob bowed to her; Those angels,,FALSE,1,,217,0 BOr (BL) 639 1 17r ,518,58
1405,640,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,18r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,"How our Lord brought up Mary and grasped her hand and set her at his right hand and gave her the covenant; While David her ancestor said 'Listen, my daughter, and see and see and incline your ear'; Angels; Congregation of Saints; Congregation of Prophets",,FALSE,1,,217,0 BOr (BL) 639 1 18r ,518,58
1406,641,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,18v,,1,1,41. Dormition: Angels show Mary the fires of Sheol and the souls within.,full,,How the angels showed our Lady Mary the fires of Sheol and the sinful souls who were inside,,FALSE,1,,217,0 BOr (BL) 639 1 18v ,518,58
1407,642,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,19r,,1,1,42. Dormition: Mary prays for those in Sheol,full,,Concerning how our Lady Mary was grieving and troubled concerning the sinful ones after she saw Sheol and the darkness; How our Lady Mary prayed entering into the enclosure of Golgotha,,FALSE,1,,217,0 BOr (BL) 639 1 19r ,518,58
1408,643,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,19v,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,About how our Lord gave the covenant to Mary; Angels,,FALSE,1,,217,0 BOr (BL) 639 1 19v ,518,58
1409,644,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,20r,,1,1,8. Annunciation: St Gabriel appears to Mary sewing or spinning,full,,How Gabriel announced the good news to Mary,,FALSE,1,,217,0 BOr (BL) 639 1 20r ,518,58
1410,645,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,20v,,1,1,"10. Nativity: Mary, Joseph, Jesus in manger",full,,How our Lady Mary gave birth to our Lord in a manger; Salome; Joseph; A donkey and a cow,,FALSE,1,,217,0 BOr (BL) 639 1 20v ,518,58
1414,649,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,215r,,1,1,11. Motherhood: Madonna and child,full,,,,FALSE,1,,217,0 BOr (BL) 639 1 215r ,518,58
1411,646,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,21r,,1,1,12. Holy Family: Flight to Egypt,full,,How our Lady Mary traveled to Dabra Qwasqwam; Joseph; Salome,,FALSE,1,,217,0 BOr (BL) 639 1 21r ,518,58
1401,636,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,7r,,1,1,11. Motherhood: Madonna and child,full,,,,FALSE,1,,217,0 BOr (BL) 639 1 7r ,518,58
1402,637,0,,BOr (BL) 639,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_639_f001r,no IIIF link,1,9r,,1,1,25. Crucifixion: Mary at the cross,left,,,,FALSE,1,,217,0 BOr (BL) 639 1 9r ,518,58
1415,650,0,,BOr (BL) 640,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_640_f001r,no IIIF link,1,1r,,1,1,25. Crucifixion: Mary at the cross,full,,Mary; John; King of the Jews,Captions in Arabic,FALSE,1,,217,0 BOr (BL) 640 1 1r ,518,4
1416,651,0,,BOr (BL) 640,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_640_f001r,no IIIF link,1,4v,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,right,,,,FALSE,1,,217,0 BOr (BL) 640 1 4v ,518,4
1417,652,0,,BOr (BL) 640,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_640_f001r,no IIIF link,1,6r,,1,1,11. Motherhood: Madonna and child,full,,"Our Lady Mary with her beloved Son; Michael; Gabriel; Arabic: Mary with her beloved Son, Michael",Some captions in Arabic,FALSE,1,,217,0 BOr (BL) 640 1 6r ,518,4
1418,653,0,,BOr (BL) 640,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_640_f001r,no IIIF link,1,8r,,1,1,11. Motherhood: Madonna and child,full,,,,FALSE,1,,217,0 BOr (BL) 640 1 8r ,518,4
1420,655,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x00001f/full/400,/0/default.jpg?t=1654626390416",1,13r,,1,1,30. Resurrection: Mary prays at Golgotha,full,,How our Lady Mary prayed at Golgotha; Guardian; Guardian; Guardian; Guardian; How our Lord visited our Lady Mary while she prayed at Golgotha,,FALSE,1,,217,0 BOr (BL) 641 1 13r ,518,63
1421,656,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000021/full/400,/0/default.jpg?t=1654626390416",1,14r,,1,1,34. Ascension: Mary surrounded by angels and the apostles,full,,"How the angels brought our Lady Mary up from Golgotha into heaven and the souls of the saints along with Abraham and Isaac and Jacob bowed to her; Garden; Abraham, Isaac, and Jacob",,FALSE,1,,217,0 BOr (BL) 641 1 14r ,518,63
1422,657,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000023/full/400,/0/default.jpg?t=1654626390417",1,15r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,"While David her ancestor said 'Listen, my daughter, and see and incline your ear. Forget your people and the house of your father because the king adores your grace because he is your Lord'; Angels; Congregation of Prophets; King David",,FALSE,1,,217,0 BOr (BL) 641 1 15r ,518,63
1423,658,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000025/full/400,/0/default.jpg?t=1654626390417",1,16r,,1,1,41. Dormition: Angels show Mary the fires of Sheol and the souls within.,full,,How the angels showed our Lady Mary the fires of Sheol and the sinful souls who were inside,,FALSE,1,,217,0 BOr (BL) 641 1 16r ,518,63
1424,659,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000027/full/400,/0/default.jpg?t=1654626391393",1,17r,,1,1,42. Dormition: Mary prays for those in Sheol,full,,Concerning how our Lady Mary was grieving and troubled concerning the sinful ones after she saw Sheol and the darkness; How our Lady Mary prayed entering into the enclosure of Golgotha,,FALSE,1,,217,0 BOr (BL) 641 1 17r ,518,63
1432,667,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x00016d/full/400,/0/default.jpg?t=1654626513264",1,180r,,1,1,11. Motherhood: Madonna and child,full,,"Icon of our Lady Mary, the pilgrim of Qwəsqwam",This folio is not original to this manuscript and the art style is very different.,FALSE,1,,217,0 BOr (BL) 641 1 180r ,518,63
1425,660,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000029/full/400,/0/default.jpg?t=1654626391393",1,18r,,1,1,43. Dormition: Mary receives the Covenant of Mercy from Jesus,full,,How our Lord came down from heaven with a thousand angels while our Lady Mary was praying in Golgotha on the seventeenth of Yäkatit and he gave her the Covenant of Mercy,,FALSE,1,,217,0 BOr (BL) 641 1 18r ,518,63
1426,661,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x00002b/full/400,/0/default.jpg?t=1654626395276",1,19r,,1,1,37. Dormition: apostles gather around the body,full,,How our Lady Mary passed away,,FALSE,1,,217,0 BOr (BL) 641 1 19r ,518,63
1427,662,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x00002d/full/400,/0/default.jpg?t=1654626395276",1,20r,,1,1,38. Dormition: apostles carry the body,full,,How the disciples carried the body of our Lady Mary,,FALSE,1,,217,0 BOr (BL) 641 1 20r ,518,63
1428,663,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x00002f/full/400,/0/default.jpg?t=1654626438029",1,21r,,1,1,39. Dormition: apostles bury the body,full,,How the disciples buried our Lady Mary,,FALSE,1,,217,0 BOr (BL) 641 1 21r ,518,63
1429,664,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000031/full/400,/0/default.jpg?t=1654626451860",1,22r,,1,1,34. Ascension: Mary surrounded by angels and the apostles,full,,How the angels brought our Lady Mary up; The moon beneath her feet,,FALSE,1,,217,0 BOr (BL) 641 1 22r ,518,63
1430,665,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000036/full/400,/0/default.jpg?t=1654626481463",1,24v,,1,1,8. Annunciation: St Gabriel appears to Mary sewing or spinning,full,,How the angel Gabriel announced the good news to our Lady Mary,,FALSE,1,,217,0 BOr (BL) 641 1 24v ,518,63
1433,668,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x0001f9/full/400,/0/default.jpg?t=1654626672048",1,250r,,1,1,23. Crucifixion: Mary kneels while Jesus is nailed to the cross,full,,How the Jews nailed our Lord to the cross having laid it on the ground; Salome; Mary Magdalene; Mary who annointed him; Our Lady Mary,,FALSE,1,,217,0 BOr (BL) 641 1 250r ,518,63
1434,669,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x0001fb/full/400,/0/default.jpg?t=1654626672049",1,251r,,1,1,25. Crucifixion: Mary at the cross,full,,How the Jews crucified our Lord between two thieves and they gave him vinegar to drink and they pierced his side; The sun became dark; The moon was blood; The one of the left; The one of the right; How they gave vinegar with gall to drink; How the legionnaire pierced our Lord; How our Lady Mary wept; Mary Magdalene; Salome; How four soldiers took the clothes of our Lord; How Saint John wept,,FALSE,1,,217,0 BOr (BL) 641 1 251r ,518,63
1435,670,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x0001fd/full/400,/0/default.jpg?t=1654626672603",1,252r,,1,1,26. Crucifixion: Mary with the body of Jesus,full,,How Joseph and Nicodemus brought down our Lord from the cross; Joseph; Nicodemus; our Lady Mary; Mary Magdalene; Salome; Mary who annointed him,,FALSE,1,,217,0 BOr (BL) 641 1 252r ,518,63
1436,671,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x0001ff/full/400,/0/default.jpg?t=1654626672603",1,253r,,1,1,27. Crucifixion: Mary prepares the body of Jesus for burial,full,,How Joseph and Nicodemus prepared our Lord for burial; Mary Magdalene; Our Lady Mary; Joseph; Nicodemus; Salome,,FALSE,1,,217,0 BOr (BL) 641 1 253r ,518,63
1437,672,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000201/full/400,/0/default.jpg?t=1654626672604",1,254r,,1,1,28. Crucifixion: Mary at the burial of Jesus,full,,How they buried our Lord; Mary Magdalene; Our Lady Mary; Joseph; Nicodemus; Salome,,FALSE,1,,217,0 BOr (BL) 641 1 254r ,518,63
1438,673,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000205/full/400,/0/default.jpg?t=1654626673732",1,256r,,1,1,31. Resurrection: Mary at the Ascension of Jesus,full,,How our Lord ascended into heaven; Disciples; Disciples; Our Lady Mary,,FALSE,1,,217,0 BOr (BL) 641 1 256r ,518,63
1439,674,0,,BOr (BL) 641,http://www.bl.uk/manuscripts/Viewer.aspx?ref=or_641_f001r,"https://api.bl.uk/image/iiif/ark:/81055/vdc_100054923333.0x000207/full/400,/0/default.jpg?t=1654626674588",1,257r,,1,1,32. Pentecost: Mary at Pentecost,full,,How the Holy Spirit descended upon the disciples in the room of Zion,,FALSE,1,,217,0 BOr (BL) 641 1 257r ,518,63
