Macomber ID,Plot Edited
52,"Monks from the monastery Däbrä Metmaq |sp| asked the bishop, Abbâ Michael, to find priests who could help them during the week of the Passion. The bishop requested a knowledgeable deacon named John to help the monks. John did as the bishop asked, despite wishing to spend the week with his family. He celebrated Palm Sunday with the monks, but decided to leave for home the next day. John joined the monks for midnight prayers, and as he entered the church he saw a column of light that bore the image of the Virgin Mary. John prostrated before the vision, promising that if it remained there the next day, he would stay at the monastery through Easter. The vision remained visible to John and to the monks until the day of the Resurrection, then it disappeared. Afterward, at the bishop’s order, John became a monk."
53,"The festival of the monastery Däbrä Metmaq |sp| was approaching. As was the custom, the monks hired people to take camels and fetch water to refill Metmaq’s cisterns. But one year the camels did not come. The monks were worried, for if the cisterns were not filled, the people coming to the festival would die of thirst. One of the monks was charged with taking the monastery’s sole donkey to fetch the water, but the monk expressed worry that the donkey would not be able to carry enough water. The monks decided to pray to the Virgin Mary for the camels’ swift arrival. During the night, as the monks slept, God conjured a strong wind that lifted water from the Nile and deposited it in the monastery’s cisterns. The next day, the monks saw that the cisterns were full, and when the people arrived for the festival, they recounted the miracle. The water returned to its previous place at festival’s end."
54,"Every day, a sick man in the monastery of the Nagadyan |sp| prayed to the Virgin Mary, declaring he could not die until he had visited Jerusalem and worship the ground where the Lord had stood. One night Mary appeared to him and transported the sick man to Jerusalem, Bethlehem, and several other important places in the life of Jesus Christ. After visiting each of these places the sick man rejoiced and died in peace."
55,"Holy fathers from the desert of Scete |sp| congregated to pray to the Virgin Mary. Suddenly, a great light appeared and the deceased Fathers of the Desert appeared, chanting and wearing crowns and robes of lights. Awestruck, the holy fathers praised Mary."
56,"A saint named Samra Krestos |sp| walked in the desert in Scete |sp|, where he encountered a multitude of terrifying demons. He fled and went to pray before an icon of the Virgin Mary, asking her for help. A shining hand bearing a mā‘tab |sp| appeared, and he heard a voice tell him not to fear. The demons dispersed. Later, while he was praying, Samra Krestos heard the voice of Gebre Menfes Kidus |sp| and saw many troops with mā‘tabs around their necks. Then, one night when he was sick in bed, Mary came to Samra Krestos in his sleep and healed him. She told him that in thirty years he would join her and her son. He honored Mary for the rest of his life and entered Paradise after a peaceful death."
57,"A poor widow was grieved, since none of her three daughters of marriageable age had a suitor. The widow went to the church of Tayada |sp|. Weeping bitterly, she stood before the icon of the Virgin Mary and prayed for her sorrow to be relieved. Mary appeared to her in a dream that night. She said that the widow’s eldest would die, but that her younger daughters would soon be married to the sons of Tewog |sp|, the blacksmith of Makmas |sp|. The widow’s eldest, Mary, died three days later. The widow rejoiced at Mary’s burial. Concerned neighbors asked her why she did not weep for her daughter, and when the widow told them of the Virgin Mary’s prophecy, they sang the Holy Mother’s praises. A few days after the burial, Tewog arrived and paid the marriage provisions for the widows two remaining daughters, Martha |sp| and Yawahita |sp|."
59,"Elizabeth, the daughter of Abraham and Gera Anest |sp| of Badraman |sp|, fell ill with smallpox and went blind. Physicians who dealt in magic could not cure her. So when a great festival in celebration of the Virgin Mary approached in Dalga |sp|, Elizabeth’s parents carried to her to a church there. On the twentieth day of Ṭəqəmt |sp|, the day before the festival, Elizabeth’s mother took her into the church, prostrated before an icon of Mary, and prayed for the restoration of her daughter’s sight. Both Gera Anest and Elizabeth fell asleep. Mary appeared to Elizabeth and told her to open her eyes, whereupon she breathed into the child’s eyes and sprinkled breastmilk into them. Elizabeth’s sight returned as the shining Mary disappeared back into the picture. Elizabeth woke her mother, who made cries of joy. In the morning, everyone who came to the church praised God when they learned of the miracle."
61,"Two brothers were skilled in the art of writing. One day a man approached one of the brothers and requested that he make a copy of the Book of Miracles of Mary for him. The brother agreed, but while he was writing he committed a sin. Devils descended on him, drew him into the air, and threatened to cast him into Hell. The Virgin Mary appeared and asked the devils why they had captured the brother, as he was engaged in writing a book of her miracles. Mary then delivered the brother from the devils and lowered him to the ground. Upon reaching the ground the brother woke from his vision, recounted the story to his companions, repented of his sin, and so was saved from Perdition."
68,"Giyorgis Haddis (George the Younger) |sp| aspired to be a martyr for Christ, and he was sent to prison by the judges to suffer for many days. On the twenty-fifth day of Gənbo |sp| he fell asleep, and at the eleventh hour of the night the Virgin Mary came to him in the form of a dove. She landed on his wounded head, and the touch of her wings healed his injury. Giyorgis felt his strength return as he took hold of Mary’s wings, and when she flew out of the prison, she shone like the sun. Gladdened, and with his strength renewed, Giyorgis fasted for four days after Mary’s visitation."
77,"Petros (Peter) Bawares |sp| built a church in the name of the Virgin Mary. Petros supplicated to Mary that her Son might reveal to him the mystery of the Holy Trinity. Mary interceded with her Son, who showed Petros a vision of three suns of equal size and brilliance. Petros witnessed this vision on Sunday, during communion. At the end of the consecration, a cloud covered the altar, and in this cloud there appeared a beautiful child. Petros heard the voice of the Father say, “This is my Son, in whom I am well pleased.” As Petros blessed the bread, a spring of blood flowed from the loaf and flooded the altar. With this blood on his fingers, Petros blessed the chalice. This vision, in which Petros learned the mystery of the Holy Trinity, took place on the day of the commemoration of Mary."
79,"There was a priest from Mallawi who had a wife with a leprous mark near her groin. The people of the town worried that the priest performed the Eucharist in an impure state, after sleeping with his ill wife. The priest took his wife to Abbâ Matthew, explained his wife’s affliction, and asked the patriarch to pray on her behalf. When Abbâ Matthew asked the priest if he bore hatred for his ill wife, the priest responded that he felt only love for her. The priest then asked Abbâ Matthew to examine his wife’s leprous mark. The patriarch instructed the priest and his wife to stand before an icon of the Virgin Mary. As the pair prayed before the icon, Abbâ Matthew secretly anointed the place on the wife’s garment just above the leprous mark. He then asked the wife to uncover herself, and when she showed her husband her body, the mark had disappeared. The priest and his wife left in wonder, praising God and spreading the word of Mary’s miracle."
82,"An old priest named Qätir |sp| lived in the city of Elksus (Al Kesus) |sp|, in a church dedicated to the Virgin Mary. The verger (‘aqqābi, “church guardian”), who had an evil disposition, thought Qätir was a burden and wanted to drive him away. Qätir begged the verger’s patience and asked him to wait for three days, when monks from the monastery of Victor would come and take him. Qätir then prayed to Mary, wept, and fell asleep. At midnight Mary appeared to the verger alongside two radiant men. She commanded one of the men to beat the verger’s feet and paralyze him. In the morning the verger could not stand, but Qätir awoke with renewed strength and vigor. The people marveled at Mary’s miracle."
83,"Two brothers, a priest named Tag |sp| and a deacon named Nazib |sp|, lived in the city of Dalga |sp| and worked dying cloth. A Muslim man named Akyatar |sp| approached them and asked them to dye some garments. The brothers fulfilled his request and refused to take payment for their work. Akyatar called the brothers good Christians, and he lamented that they were not Muslims. Akyatar went to the kadi (chief judge) |sp|, hoping to force the brothers to convert to Islam. The kadi beat and imprisoned Nazib. Meanwhile, Tag prayed to the Virgin Mary on his brother’s behalf. Nazib was freed, and the brothers escaped. [Note: summary made from incomplete scan.]"
88,"A Roman prefect wanted to pray at the Tomb of Jesus Christ in Jerusalem, but as he tried to enter the tomb a ram prevented him. The prefect consulted the caretakers of the tomb, but none of them could see the animal. A priest asked the prefect if anything might be preventing him from entering the tomb. The prefect confessed his sins, but still the ram did not let him enter. The prefect then proclaimed his belief in God, whereupon he entered the tomb and took communion. He also proclaimed his belief in the Virgin Mary, mother of the Son, who had appeared “in the form of the Ram of God” and prevented the prefect from entering the tomb."
98,"A group of arrogant men asked a stonecutter to make an elaborate sculpture of the Virgin Mary. Mary, “the enemy of the arrogant,” appeared to the stonecutter in a dream. She told him to cease work on the sculpture, which had been commissioned not out of love for her, but for the arrogant men’s own glory. Mary also visited the Archbishop Basil in his sleep and told him the location of an image of her that had been painted by angels. The next morning the archbishop and his followers went to the location Mary had described. There they found a red tablet that was dripping with olive oil, and which bore Mary’s image. The archbishop rejoiced and had the tablet installed in his church. The oil healed the maladies of anyone anointed with it. One day a woman who had killed her sister for being unfaithful with her husband came to the church. When she was anointed with the oil, her skin immediately turned white with leprosy. People marveled at the incident and never again made offerings to the painting."
99,"In France, a man lived in sorrow and shame because of his lame foot, which he covered with a cloth to conceal his ailment from others. This man devoutly attended a church dedicated to the Virgin Mary. One day, as the attendees were departing the church, the archbishop noticed the man with a lame foot standing outside the building. Angered by the thought that the lame-footed man had been inside his church, the archbishop commanded all the attendees to go back inside the church, then come out one by one. When everyone had left, only the lame-footed man remained. The man prostrated tearfully before an icon of Mary, and his foot was healed. The archbishop and the church attendees all praised Mary and prostrated before her image."
100,"The Virgin Mary and her son, Jesus Christ, escaped from Bethlehem after King Herod ordered all male children to be killed. During their journey to Egypt, heat and exhaustion led Mary to feel intense thirst. She asked her son to give her water, and he made water flow from Paradise, forming a shallow body of water. Mary drank, as did Joseph and Salome. Jesus told Mary the spring would remain until his second coming. A blind woman with leprosy, who was the daughter of a thief, put her foot in the water and was healed of all her maladies. She found Mary, Joseph, Salome, and Jesus in the water and asked them who they were. After learning their identities, she declared that she believed in Jesus Christ and worshipped Mary. Upon returning to her village, she told her brother, Yoset |sp|, of her healing encounter with Mary and Jesus."
101,"There was a thief named who had killed many people. After the time of the Virgin Mary’s death, he and his companion, a second thief named Yoset |sp|, reached the spring that Mary’s son, Jesus Christ, had made in the desert from the waters of Paradise. The first thief bathed in the spring and drank from it. He then fell asleep there, whereupon his companion killed him. As the angels of darkness were carrying the first thief’s soul away, Mary declared that his soul belonged to her. She begged for her son to have mercy on the thief’s soul, and he granted her request, allowing him to enter Paradise."
103,"There was a bishop named Mercurius, whose whole body was covered with leprosy. Mercurius went to Archbishop Zacharias, who reminded the bishop that, according to the Bible, his illness made him unclean. Mercurius cried, and when he returned to his church he supplicated before an icon of the Virgin Mary. He wept and prayed for four days. Then, in the ninth hour on the fourth day, Mercurius fell asleep. Mary approached him in his dreams and rubbed his skin. He awoke to find himself cleansed of his leprosy."
106,"There was a rich man who celebrated the Virgin Mary, but who did not regularly practice generosity or compassion for the poor. During a feast held for one of Mary’s feast days, a beggar approached and asked for food. Angry, the rich man threw his bread at the beggar, hitting him in the head and drawing blood. The poor man was thankful, and did not take notice of the blood. The rich man died the very same day, whereupon God commanded that his soul should be taken to Sheol (Hell). The Virgin Mary interjected, claiming that the man's soul belonged to her, as he had fed a hungry man in her name. When God pointed out that the rich man had injured the poor man, Mary summoned the beggar. The beggar remained grateful for the food the rich man had given him, and he did not remember the injury the man had caused. Mary returned the beggar to his body, and the rich man was saved."
107,"Mary, an Egyptian woman, was led into prostitution by the devil at the age of twelve. After sixteen years as a prostitute, God made her see a group of men who were traveling to Jerusalem to visit the tomb of Jesus Christ. She wanted to travel with them, but because she had no money to pay for her passage, she sold her body instead. In Jerusalem, she desired to enter the tomb of Jesus Christ, but God prevented her from entering. She supplicated before a portrait of the Virgin Mary, and as she wept she was allowed to pass into the tomb. There she partook of festivities in Mary’s name, then returned to the icon and prayed to know how she could repent of her sins. A voice came from the picture, instructing her to go to Jordan. Mary obeyed the voice and traveled to Jordan, where she lived a devout life for thirty-seven years. When she died, a priest named Zosimus found her body. A lion appeared and dug the grave, after which Zosimus buried Mary, and she was saved."
112,"There was a poor woman with a broken leg who could not afford treatment from a physician. Her family took her to the church in the city of Harlom, and placed her before an icon of the Virgin Mary. That night, Mary appeared and used her foot to make a sign over the poor woman. The poor woman arose, and the verger of the church arrived to see her standing on her healed leg. Everyone who witnessed the cured woman praised Mary and sang hymns in her honor."
113,"There was an unmarried young woman who lost her virginity and then engaged in sexual relations with many other men. Her mother felt aggrieved and chastised her, but the young woman paid her no mind. One day, the angel of death came to the young woman, whereupon she fell to the ground weeping and proclaiming regret for her sins. A group of young virgins then appeared, and the young woman expressed her regret to them as well. The virgins prayed to the Virgin Mary, as did Thomas the Bishop. That night Mary appeared and instructed one of the virgins to fill two pans: one with the woman's tears and the dust they had wetted, and another with the woman’s sins. The two pans were weighed on a scale, and the first pan outweighed the second. Mary told Michael to dip the young woman in water three times, then place her among the virgins who had prayed to her."
114,"The chief of thieves had killed his companion in the spring that the Virgin Mary’s son, Jesus Christ, had made in the desert from the waters of Paradise. As the chief of thieves washed himself in the spring, another thief approached, planning to kill the chief. But before the approaching man could enact his plan, the chief of thieves attacked and killed him. The chief of thieves then returned to the spring, which he now recognized as the spring that had cured his mother of leprosy. He proclaimed his faith in Mary, then fell asleep. Then the mother of the chief of thieves, now infirm and emaciated, came to the spring and used her son’s sword to cut off his head. Seeing this, another approaching thief came and killed her with his spear. The woman was made innocent by the blessed water of the spring, but angels of darkness came for the chief of thieves. Mary appeared and declared that the man’s soul belonged to her. She begged for her son to have mercy on the man’s soul, and he granted her request. The chief of thieves had his soul washed in the water of the spring before entering Paradise."
121,"The Egyptian King Soforon |sp| was ill, and he went to the Virgin Mary to pray for healing. Mary placed her hands on his head and cured the king of his sickness. A series of women then came to Mary: two women came with bedeviled hands, one had a high fever, another was blind in her right eye, and yet another was possessed by devils. Mary healed each of the women, and she drowned the devils that possessed the last one. Two thousand and eight other sick people came to Bethlehem, and Mary healed them all."
125,"A nobleman from the city of Qemer |sp| sinned greatly by eating seventy-eight people, including his friends and his entire family. One day, the nobleman encountered a husbandman on the road and attempted to trade his bow and arrows for the husbandman’s ox. The husbandman refused, having observed the nobleman’s heart to be depraved and full of guile. The nobleman continued along the road, where he encountered a beggar covered with leprous marks. The beggar asked for water in the name of the Virgin Mary. The nobleman refused twice, but when the beggar asked a third time the nobleman gave him water. When the nobleman died and the angels of darkness came to take him to Sheol (Hell), Mary declared that his soul belonged to her. She begged for her son to have mercy on the nobleman’s soul, and the Lord commanded that the man’s sins be weighed against his good deeds. Angels of light weighed the souls of those the nobleman had eaten against the drop of water he had given the beggar, and the water weighed more. He was saved."
126,"An old man who had suffered epilepsy for many years came to the Virgin Mary to pray for her healing. Mary said his ailment had come from God, but that his sins had been forgiven and he would be healed. The old man asked what he could in return for being cured, and Mary instructed him to give alms to the poor and devote himself to God. The old man sold all his possessions and did as Mary commanded."
134,"There was a man from the city of Sidon |sp| who came from a noble family. Though he was nominally a Christian, he had committed many sins. One day the man went hunting in the desert of Scete. There he encountered a massive serpent. When the serpent threatened to swallow him, the man prayed to the Virgin Mary, promising to devote himself to her if she saved him. Mary lent the man the strength to slay the serpent, and upon killing his foe the man discovered a pearl in the serpent’s brain. A voice came from desert commanding the man to return to Sidon, to build there a martyrium in Mary's honor, and to install the pearl in the church’s eastern chamber. The people of Scete |sp| celebrated the serpent’s death and marveled at Mary’s miracle. The man then returned to Sidon. He built the church according to the voice’s specifications, and he devoted the rest of his life and wealth to Mary."
137,"The emperor of Rome ruled over the earth, and all of his subjects abased themselves before him. All of this adoration disturbed the emperor, who felt it was not right for a flesh-and-blood man like him to be worshiped like God. The emperor summoned a wise woman named Sybilla, who prayed to God for guidance. At noon on the third day of prayer, Sybilla saw in the sun a vision of the Virgin Mary with the child Christ in her lap. After the emperor witnessed this same vision, he called for a great altar to be built in his home, where he offered incense in honor of Christ."
138,"In the city of Daset |sp| there lived a deacon who sinned greatly, but who loved the Virgin Mary and prayed to her. One day the deacon's enemies ambushed and killed him outside the city. When passersby found his body, they buried him by the roadside. Forty days later Mary appeared to another deacon. Angry that the murdered man had been buried in unconsecrated ground, Mary instructed the deacon to gather other deacons and move the murdered man’s body to a grave in consecrated ground. When the deacons disinterred the murdered man’s body, they found in his mouth a pleasant-smelling flower, and they noticed that neither his tongue nor mouth had begun to rot. The deacons rejoiced and reburied the body."
